,Start,End
0,2018-10-20 13:43:48.795905,2018-10-20 13:43:49.300651
1,2018-10-20 13:43:51.072903,2018-10-20 13:43:51.503536
2,2018-10-20 13:43:51.642742,2018-10-20 13:43:51.706834
3,2018-10-20 13:43:51.760914,2018-10-20 13:43:51.814994
4,2018-10-20 13:43:51.927157,2018-10-20 13:43:52.138469
5,2018-10-20 13:43:52.207570,2018-10-20 13:43:52.846510
6,2018-10-20 13:43:53.020764,2018-10-20 13:43:53.075846
7,2018-10-20 13:43:53.192018,2018-10-20 13:43:53.547542
8,2018-10-20 13:43:53.832962,2018-10-20 13:43:54.193492
9,2018-10-20 13:43:54.331694,2018-10-20 13:43:54.742300
10,2018-10-20 13:43:54.816408,2018-10-20 13:44:08.902567
11,2018-10-20 13:44:08.973669,2018-10-20 13:44:09.047779
12,2018-10-20 13:44:09.106866,2018-10-20 13:44:09.151930
13,2018-10-20 13:44:09.392285,2018-10-20 13:44:10.065276
14,2018-10-20 13:44:10.178443,2018-10-20 13:44:10.301622
15,2018-10-20 13:44:10.572021,2018-10-20 13:44:10.636114
16,2018-10-20 13:44:10.726245,2018-10-20 13:44:12.836356
